#Num,R1 IW,R2 PW,R3 NE,R4 SE,SAF #,Cover Type Name,Fuel Ref,Lit,1hr,10hr,100hr,1000h,QMD,Duf,Dep,Cd,Herb,Cd,Shr,Cd,Foli,Cd,Bran,Cd,Add. Ref,CvG, Flame EF,Duff EF, Smolder 1K EF
#---,__,--,__,--,__________,....................................................................................................,---------------,______,------,______,------,______,------,______,------,__,------,__,------,__,------,__,------,__,---------------,___,--,__,---
927,1,0,0,0,,Andropogon hallii Herbland,SMFDB456,0,0,0,0,0,0,0,0,,0.63,,0,,,,,,,,6,8,7
363,0,0,0,4,,Annona glabra Seasonally Flooded Woodland,X,,,,,,,,,,,,,,,,,,,,1,8,7
17,0,0,0,4,,Annona glabra Semipermanently Flooded Forest,X,,,,,,,,,,,,,,,,,,,,1,8,7
1299,1,2,0,0,,Antennaria lanata Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1300,1,0,0,0,,Antennaria microphylla Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1301,0,0,0,4,,Aquilegia canadensis - Asplenium (heterochroum; heteroresiliens) Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1284,1,0,0,0,,Aquilegia coerulea Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1302,0,2,0,0,,Arabis lyallii Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
283,1,0,0,0,,Arbutus xalapensis - Acer grandidentatum - Quercus spp. Forest,X,,,,,,,,,,,,,,,,,,,,3,8,7
585,0,2,0,0,,Arctostaphylos glandulosa Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
586,0,2,0,0,,Arctostaphylos glauca - Quercus (dumosa;dunnii;turbinella;wislizenii) Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
587,0,2,0,0,,Arctostaphylos glauca Shrubland,PMS-833,0,0,0,0,0,0,0,0,,0,,38.7,,,,,,,SG,5,8,7
588,0,2,0,0,,Arctostaphylos myrtifolia Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
589,1,2,0,0,,Arctostaphylos patula Shrubland,SMFDB033,0.92,0,0,0,0,0,5,0.5,,0.19,,27.87,,,,,,,,5,8,7
590,1,0,0,0,,Arctostaphylos pungens Shrubland,PMS-833,0,0,0,0,0,0,0,0,,,0,38.7,,,,,,,SG,5,8,7
591,0,2,0,0,,Arctostaphylos tomentosa Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
860,1,2,0,0,,Arctostaphylos uva-ursi Dwarf-Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
592,0,2,0,0,,Arctostaphylos viscida Shrubland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1303,1,0,0,0,,Arenaria hookeri Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1156,0,0,0,4,,Aristida beyrichiana Saturated Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1219,0,0,0,4,,Aristida Beyrichiana Upland Shrub Herbland,X,,,,,,,,,,,,,,,,,,,,5,8,7
1061,0,0,0,4,,Aristida palustris - Andropogon (capillipes; glaucopsis) Temp. Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1086,0,0,0,4,,Aristida palustris - Panicum virgatum Seasonally Flooded Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
1259,0,0,0,4,,Aristida stricta Saturated Shrub Herbland,SMFDB119,0,0,0,0,0,0,2.57,1.5,,3.01,,0.9,,,,,,,,5,8,7
1265,1,2,0,0,,Artemisia arbuscula Dwarf-Shrub Herbland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
854,1,0,0,0,,Artemisia arbuscula Dwarf-Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
1304,1,0,0,0,,Artemisia arctica Herbland,X,,,,,,,,,,,,,,,,,,,,6,8,7
879,1,0,0,0,,Artemisia bigelovii Dwarf-Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
635,0,2,0,0,,Artemisia californica - Eriogonum fasciculatum Shrubland,PMS-833,7.4,0,0,0,0,0,0,0,,0,,9.6,,,,,,,SB,5,8,7
636,0,2,0,0,,Artemisia californica - Salvia mellifera Shrubland,PMS-833,7.4,0,0,0,0,0,0,0,,0,,9.6,,,,,,,SB,5,8,7
637,0,2,0,0,,Artemisia californica Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
656,1,2,0,0,,Artemisia cana Intermittently Flooded Shrubland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
1221,1,0,0,0,,Artemisia cana Shrub Herbland,FOFEM 461,0.07,0,0,0,0,0,0,0,,0.45,,1.26,,,,,,,SB,5,8,7
