# FOFEM SAF Cover File; DCL Updated May 9 2016
# Contains Emission Group Numbers
# Fuel Ref,West,Pacif,NthEst,SthEst, Code, Cover, Ref., Lit,1hr,10hr,100hr,1000hr,QMD,Duff,DuffDepth, Cd, Herb, Cd,  Shr, Cd, Foli, Cd, Bran, Cd, Add. Ref, Cover Group, Flame EF,Duff EF, Smolder 1K EF
62,0,0,0,4,SAF 085,Slash Pine - Hardwood,FOFEM 221,0.9,0,0,0,0,0,5.7,1.2,GD,0,H1,3.9,S1,,F1,,B1,,,1,8,7
63,0,0,0,4,SAF 087,Sweetgum - Yellow-Poplar,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
64,0,0,0,4,SAF 088,Willow Oak - Water Oak - Diamondleaf (Laurel) Oak,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
66,0,0,0,4,SAF 089,Live Oak,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
286,0,0,0,4,SAF 091,Swamp Chestnut Oak - Cherrybark Oak,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
30,0,0,0,4,SAF 092,Sweetgum - Willow Oak,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
34,0,0,0,4,SAF 093,Sugarberry - American Elm - Green Ash,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
35,0,0,0,4,SAF 094,Sycamore - Sweetgum - American Elm,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
36,0,0,3,4,SAF 095,Black Willow,CFM Riparian,,,,,,,,,,,H1,,S1,,F1,,B1,,,2,8,7
37,0,0,0,4,SAF 096,Overcup Oak - Water Hickory,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
,0,0,3,4,SAF 097,Atlantic White-Cedar,CFM,,,,,,,,,,,H1,,S1,,F1,,B1,,,2,8,7
39,0,0,0,4,SAF 098,Pond Pine,FOFEM 191,0.7,0,0,0,0,0,3.8,1,GD,1.7,H1,2.6,S1,,F1,,B1,,PC,1,8,7
41,0,0,0,4,SAF 098,Pond Pine (Pocosin),FOFEM 571,3,0,0,0,0,0,88,6,GD,1.7,H1,2.6,S1,,F1,,B1,,PC,1,8,7
45,0,0,0,4,SAF 098,Pond Pine (Pocosin) - example 1 From N.C.; Wendel and others '62,SMFDB 118,3.62,0,0,0,0,0,88,6,GD,0,H1,2.06,S1,,F1,,B1,FOFEM 571,PC,1,8,7
40,0,0,0,4,SAF 098,Pond Pine (Pocosin) - example 2 From N.C.; Wendel and others '62,SMFDB 120,4.45,0,0,0,0,0,88,6,GD,0,H1,4,S1,,F1,,B1,FOFEM 571,PC,1,8,7
272,0,0,0,4,SAF 098,Pond Pine (Pocosin) - example 3 From N.C.; Wendel and others '62,SMFDB 123,4.59,0,0,0,0,0,88,6,GD,0.48,H1,4.3,S1,,F1,,B1,FOFEM 571,PC,1,8,7
273,0,0,0,4,SAF 098,Pond Pine (Pocosin) - example 4 From N.C.; Wendel and others '62,SMFDB 126,9.05,0,0,0,0,0,88,6,GD,0,H1,5.95,S1,,F1,,B1,FOFEM 571,PC,1,8,7
127,0,0,0,4,SAF 098,Pond Pine (Pocosin) - example 5 From N.C.; Wendel and others '62,SMFDB 127,5.36,0,0,0,0,0,88,6,GD,0,H1,11.98,S1,,F1,,B1,FOFEM 571,PC,1,8,7
219,0,0,0,4,SAF 098,Pond Pine (Pocosin) - example 6 From N.C.; Wendel and others '62,SMFDB 128,5.36,0,0,0,0,0,88,6,GD,0,H1,15.64,S1,,F1,,B1,FOFEM 571,PC,1,8,7
150,0,0,0,4,SAF 100,Pondcypress,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
181,0,0,0,4,SAF 101,Baldcypress,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
231,0,0,0,4,SAF 102,Baldcypress - Tupelo,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
233,0,0,0,4,SAF 103,Water Tupelo - Swamp Tupelo,CFM-BT,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
234,0,0,0,4,SAF 104,Sweetbay - Swamp Tupelo - Redbay,FOFEM 571,3,0,0,0,0,0,88,6,GD,1.7,H1,2.6,S1,,F1,,B1,,,1,8,7
235,0,0,0,4,SAF 105,Tropical Hardwoods,CFM Tropical,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
236,0,0,0,4,SAF 106,Mangrove,CFM Tropical,,,,,,,,,,,H1,,S1,,F1,,B1,,,1,8,7
237,0,0,3,0,SAF 107,White Spruce,FOFEM 161,11.1,0,0,0,0,0,35,2.3,GC,0.15,H1,0.25,S1,,F1,,B1,,,2,8,7
240,0,0,3,0,SAF 107,White Spruce ex. From photoseries PMS-831,PMS-831,3.08,0.4,0.7,2,0.3,5,30.9,3.4,GC,0,H1,1.31,S1,,F1,,B1,,,2,8,7
241,0,0,3,0,SAF 108,Red Maple - example 1 from photoseries NA-FR-22,NAFR-22,4,0.1,0.4,0.7,6.2,5,3,0.5,GD,0.1,H1,0.1,S1,,F1,,B1,,,2,8,7
242,0,0,3,0,SAF 108,Red Maple - example 2 from photoseries NA-FR-22,NA-FR-22,5.01,0.2,0.8,3.6,7.9,5,14.9,1.4,GD,0,H1,0,S1,,F1,,B1,SMFDB 250,,2,8,7
243,0,0,3,4,SAF 109,Hawthorn,CFM-ONT,,,,,,,,,,,H1,,S1,,F1,,B1,,,2,8,7
244,0,0,3,4,SAF 110,Black Oak,FOFEM 231,2,0.05,0.45,0,0,5,4,0.8,GD,0.05,H1,0.1,S1,,F1,,B1,,,2,8,7
245,0,0,0,4,SAF 111,South Florida Slash Pine - rough age  1,FOFEM 401,2.1,0,0,0,0,0,0,0,GI,0,H1,1.05,S1,0,F1,0,B1,,,1,8,7
246,0,0,0,4,SAF 111,South Florida Slash Pine - rough age  2,FOFEM 401,1.92,0,0,0,0,0,1.58,0.2,GJ,0,H1,1.45,S1,0,F1,0,B1,,,1,8,7
247,0,0,0,4,SAF 111,South Florida Slash Pine - rough age  3,FOFEM 401,1.54,0,0,0,0,0,3.26,0.4,GK,0,H1,1.75,S1,0,F1,0,B1,,,1,8,7
248,0,0,0,4,SAF 111,South Florida Slash Pine - rough age  5,FOFEM 401,1.22,0,0,0,0,0,5.58,0.7,GL,0,H1,2.3,S1,0,F1,0,B1,,,1,8,7
249,0,0,0,4,SAF 111,South Florida Slash Pine - rough age 10,FOFEM 401,1.39,0,0,0,0,0,8.51,1.2,GD,0,H1,3.9,S1,0,F1,0,B1,,,1,8,7
254,0,0,0,4,SAF 111,South Florida Slash Pine - rough age 15,FOFEM 401,1.58,0,0,0,0,0,9.72,1.4,GD,0,H1,5.45,S1,0,F1,0,B1,,,1,8,7
255,0,0,0,4,SAF 168,Gallberry -- fetterbush   shrubland,SE 168,3.695,0,0,0,0,0,356,45.5,GD,0.1,H1,6.15,S1,0.06,F1,0.02,B1,,PC,1,8,7
