# Version 6.0   Fuel Loading File - must be same number as the Fofem program's
# This file comes from DL's spread sheet - Sept 20 2012
# NOTE: this file now contains foliage and branch loads whereas the previous versions of this file did not
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 S     185 Longleaf pine / turkey oak forest                                                       x   1.39   0.52   0.03   0.24    0.2    0.1    0.2    0.1    0.1      0      0      0      0      0
 S     186 Turkey oak -- bluejack oak forest                                                       x   5.32   6.52   0.06   0.58    0.1    0.2    0.5    0.3    0.3    0.5      0    0.1    0.1      0
 S     187 Longleaf pine / yaupon forest                                                           x   3.72  10.13    0.1   0.98    0.2    0.8      4    1.2    1.2    1.5      0    0.2      0      0
 S     188 Sand pine -- oak forest                                                                 x   2.14   11.7   0.08   2.09      0    0.4    0.6    1.1    1.1      0      0      0      0      0
 S     189 Sand pine -- oak forest                                                                 x   2.16  20.59   0.13   2.23      0    0.6    0.7    4.1    4.1    2.1      0    0.2    0.2      0
 S     190 Slash pine -- longleaf pine / gallberry forest                                          x   1.46  16.58   0.12   9.55    0.1   0.15    0.4    1.2    1.2      0      0    0.1      0      0
 S     191 Longleaf pine -- slash pine / gallberry forest                                          x   2.95   4.16   0.03   4.86    0.2   0.08   0.35      1      1      0      0      0      0      0
 S     196 Loblolly pine / bluestem forest                                                         x   7.19   1.69   0.02   1.77    0.1    0.3   0.56    0.5    0.5      0      0      1    0.5      0
 S     203 Sawgrass -- Muhlenbergia grassland                                                      x    4.6      0   0.04      0      3      0      0      0      0      0      0      0      0      0  GG
 P     208 Grand fir -- Douglas-fir forest                                                         x    1.2  23.14   0.17   0.78   0.06    0.5    1.6    4.3    4.3    8.9    3.4    0.8    1.6    0.6
 I     210 Pinyon -- Utah juniper woodland                                                         x   1.49   0.52   0.02   0.54    0.1    0.2    0.4    0.3    0.3      0      0    0.2    0.2      0
 I     211 Interior ponderosa pine forest                                                          x   2.72    5.7   0.04    0.1   0.11    0.1    0.5    0.4    0.4    1.2      0    0.4    0.3      0  PN
 P     212 Pacific ponderosa pine forest                                                           x    0.9   21.6   0.13      0   0.06      1    3.2     40     40      3      0    1.7      1      0  PN
 I     213 Wheatgrass -- cheatgrass grassland                                                      x      0      0      0      0   0.21      0      0      0      0      0      0      0      0      0  GG
 P     214 Giant sequoia -- white fir -- sugar pine forest                                         x    2.1  13.32   0.09   2.13   0.06    0.5    1.5    0.5    0.5      4     21    0.2      2      4
 P     215 Douglas-fir -- madrone / tanoak forest                                                  x    0.3      2   0.02   0.32   0.05    0.8    1.1    2.5    2.5    3.1   14.8      1      1      2
 I     216 Gambel oak -- bigtooth maple forest                                                     x      3   13.6   0.12   0.32   0.15      1    1.1    1.9    1.9      0      0      0      0      0
 I     217 Gambel oak -- bigtooth maple forest                                                     x   3.66   6.88   0.06   0.27   0.11    0.1    0.2    1.6    1.6      0      0      0      0      0
 I     218 Gambel oak / big sagebrush shrubland                                                    x   1.86    3.9   0.05   0.64   0.11    0.2    0.6    0.5    0.5      0      0      0      0      0  SB
 I     219 Ponderosa pine -- white fir / quaking aspen forest                                      x    2.7  24.96   0.17   0.01   0.11    0.3    1.7    2.7    2.7    2.6    1.5    1.2    4.3    1.8  PN
 I     220 Ponderosa pine -- white fir / quaking aspen forest                                      x    1.2   7.92   0.05   0.06   0.11    0.2      1    2.4    2.4    2.1    1.2    1.2      1    0.8  PN
