#FCCS Cover File; DCL Updated May 9 2016
#reg,reg,reg,reg,Num-Name,F,Litter,Duff,Depth,Shrub,Herb,1Hr,10Hr,100Hr,3-9S,9-20S,20+S,3-9R,9-20R,20+R,Foli,Bran,CTG, Flame EF,Duff EF, Smolder 1K EF
#_,-,_,-,___________________________________________________________________________________________,_,------,______,------,______,------,______,------,______,------,______,------,______,------,______,------,______,---,___,---,___
P,I,,,105 Paper birch -- quaking aspen -- white spruce forest,x,5.55,30.6,3,2.31,0.06,0.4,0.5,1.5,5,3,0,2,2,0,13.16,3.29,BBS,2,8,7
N,,,,106 Red spruce -- balsam fir forest,x,5.72,30.69,2,0.6,0.1,1,1.7,3.3,17.5,17.5,0,3.5,3.5,0,1.03,0.26,BBS,3,8,7
N,S,,,107 Pitch pine / scrub oaks forest,x,2.59,35.1,3,1.47,0.02,0.1,0.7,0.5,0.1,0,0,0.2,0,0,2.11,0.53,,1,8,7
N,,,,109 Eastern white pine -- northern red oak -- red maple fore,x,4.25,11.7,1,3.28,0.4,0.3,0.5,1,1.2,0.5,0.5,0.75,0.3,0,17.23,4.31,WPH,3,8,7
N,,,,110 American beech -- yellow birch -- sugar maple forest,x,3.1,14.85,1,0.44,0.1,0.4,0.5,1,1,5,0,0.5,1,0,15.32,3.83,,3,8,7
S,,,,114 Virginia pine -- pitch pine -- shortleaf pine forest,x,3.86,19.8,2,0.88,0.2,0.2,0.7,0.4,0.3,0.5,0,0.2,0.3,0,3.74,0.94,,1,8,7
S,N,,,115 Rhododendron -- blueberry -- mountain laurel shrubland,x,5.78,40,2.5,15.63,0.05,0.2,0.7,2,0,0,0,0.2,0,0,0.17,0.04,SG,1,8,7
S,N,,,120 Oak -- pine / mountain laurel forest,x,5.24,19.8,1.5,10.8,0.05,0.5,1,1.5,1.5,1.8,0,0.8,0,0,5.9,1.48,,1,8,7
S,N,,,121 Oak -- pine / mountain laurel forest,x,7.84,19.8,1.5,10.8,0.1,2,3,4,8.8,14.6,5.8,0.8,0,0,6.39,1.6,,1,8,7
S,N,,,123 White oak -- northern red oak -- black oak -- hickory fo,x,6.83,22.1,2,3.3,0.06,0.6,1.2,1.6,1.5,1.8,0,0.8,0,0,15.48,3.87,,1,8,7
N,,,,124 Pitch pine -- oak forest,x,3.9,18.72,1.6,2.22,0.11,0.2,0.5,0.5,0.1,0.1,0,0.2,0,0,4.55,1.14,,3,8,7
N,,,,125 Oak -- hickory -- pine -- eastern hemlock forest,x,5.57,8.16,0.7,3.41,0.05,0.02,0.4,0.7,1.8,1.8,0,0.5,0,0,13.77,3.44,WPH,3,8,7
S,N,,,129 Green ash -- American elm forest,x,0.93,1.3,1,2.03,0.11,0.1,0.2,1.5,1.5,1.5,0,0.5,0.5,0,19.76,4.94,,1,8,7
S,,,,131 Bluestem -- Indian grass -- switchgrass grassland,x,6.59,0,0,0.32,3.3,0,0,0,0,0,0,0,0,0,0.51,0.13,GG,6,8,7
S,,,,133 Tall fescue -- foxtail -- purple bluestem grassland,x,3.96,0,0,0.61,3,0.4,0.2,0,0,0,0,0,0,0,0.43,0.11,GG,6,8,7
S,N,,,134 White oak -- northern red oak -- hickory forest,x,2.98,7.12,0.6,2.64,0.2,1.4,3.2,6.9,7.9,2.8,0,2.5,1,0,0.26,0.07,,1,8,7
S,N,,,135 Eastern redcedar -- oak / bluestem savanna,x,0.27,0.39,0.2,0.52,1.5,0.2,0.4,0.8,0,0,0,0,0,0,1.52,0.38,,6,8,7
N,,,,138 Red pine -- eastern white pine forest,x,2.2,19.89,1.8,0.8,0.1,0.9,1.5,1.9,4.8,5.2,0,1.4,2.1,0,10.18,2.55,RJP,3,8,7
N,,,,140 Jack pine / black spruce forest,x,2.36,18.53,1.5,2.29,0.72,0.3,0.3,0.1,0.4,0,0,0.1,0,0,4.69,1.17,RJP,3,8,7
N,,,,142 Quaking aspen -- paper birch forest,x,2.62,23.4,2,0.63,0.11,0.5,1,3,3,0,0,1,0,0,13.8,3.45,,3,8,7
I,,,,143 Quaking aspen -- paper birch -- white spruce -- balsam f,x,5.05,24.7,2,4.4,0.5,0.4,0.6,1.3,2,2,0,0.3,0,0,20.24,5.06,BBS,3,8,7
N,,,,146 Jack pine forest,x,2.72,15.6,1.2,0.36,0.11,0.2,0.8,1,6,0,0,1.5,0,0,3.77,0.94,RJP,3,8,7
N,,,,147 Jack pine savanna,x,1.05,3.64,0.4,0.86,0.31,0.1,0.1,0.1,0.3,0,0,0,0,0,1.97,0.49,RJP,6,8,7
N,,,,148 Jack pine forest,x,3.17,4.23,0.5,0.49,0.06,0.1,0.5,1.3,10,0,0,1.5,0,0,0.95,0.24,RJP,3,8,7
N,,,,152 Red pine -- White pine forest,x,2.59,17.55,1.8,0.45,0.2,2,3,4,12.5,15,10,1.4,2.1,0,0.53,0.13,RJP,3,8,7
I,,,,154 Bur oak savanna,x,4.01,3.6,0.4,0.75,0.3,0.2,0.5,0.5,1,0.5,0,0,0,0,10.81,2.7,,6,8,7
N,,,,155 Red spruce --  balsam fir forest,x,3.06,44.55,3,0.23,0.05,0.5,1,0.5,1.5,0.4,0,2,0.75,0,6.05,1.51,BBS,3,8,7
S,,,,156 Slash pine plantation forest,x,2.35,9.35,0.75,3.4,0.1,1.6,0.84,1.5,2,0,0,0.07,0,0,2.59,0.65,,1,8,7
S,,,,157 Loblolly pine -- shortleaf pine -- mixed hardwoods fores,x,5.76,11.05,1,3.2,0.11,1,1.3,1.3,0.7,0.7,0.7,0.9,0,0,9.77,2.44,,1,8,7
S,,,,158 Loblolly pine -- shortleaf pine -- mixed hardwoods fores,x,8.63,11.05,1,5.28,0.11,0.3,1.1,1.9,10.4,10,9,7,4,0,12.21,3.05,,1,8,7
S,,,,161 Loblolly pine -- slash pine forest,x,2.85,12.35,1,1.08,0.11,1.2,0.84,0.25,0.5,0,0,1,0,0,2.54,0.63,,1,8,7
S,,,,162 Loblolly pine -- slash pine forest,x,2.7,12.35,1,1.63,0.11,0.5,4.3,3.7,2.7,0,0,1.6,0,0,2.15,0.54,,1,8,7
S,,,,164 Sand pine forest,x,1.93,7.8,1,2.36,0.01,1.5,1.5,0.3,1,0.5,0,0.1,0,0,2.67,0.67,,1,8,7
S,,,,165 Longleaf pine / three-awned grass -- pitcher plant savan,x,1.05,1.3,0.5,2.19,0.35,0.1,0.16,0.14,0.2,0.1,0,0,0,0,0.35,0.09,,6,8,7
S,,,,166 Longleaf pine / three-awned grass -- pitcher plant savan,x,1.1,17.68,1.6,9.23,0.21,0.2,0.5,0.3,0.5,0.2,0,0,0,0,4.08,1.02,,6,8,7
S,,,,168 Gallberry -- fetterbush shrubland,x,2.15,356,45.5,6.15,0.1,0,0,0,0,0,0,0,0,0,0.06,0.02,PC,1,8,7
S,,,,170 Pond pine / gallberry -- fetterbush shrubland,x,3.22,223.2,10.5,7.53,0.1,0,0,0,0,0,0,0,0,0,0.68,0.17,PC,1,8,7
S,,,,173 Live oak / sea oats savanna,x,0.17,0,0,0.7,0.2,0.2,0.2,0.5,0,0,0,0,0,0,1.18,0.29,,6,8,7
S,,,,174 Live oak -- sabal palm forest,x,5.17,6.38,0.75,4.18,0.2,0.5,0.5,0.5,1.5,1,0,0,0,0,8.3,2.08,,1,8,7
S,,,,175 Smooth cordgrass -- black needlerush grassland,x,3.11,110,12.5,0,4,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
S,,,,176 Smooth cordgrass -- black needlerush grassland,x,6.21,298.8,19,0,4,0,0,0,0,0,0,0,0,0,0,0,GG,6,8,7
S,,,,178 Loblolly pine -- shortleaf pine forest,x,4.55,13.26,1.2,3.05,0.1,0.9,3.6,6.2,10.6,0,0,4.4,1.4,0,2.87,0.72,,1,8,7
S,,,,180 Red maple -- oak -- hickory -- sweetgum forest,x,6.2,20.8,2,1.49,0.25,0.4,0.7,1.4,1.8,1.8,0,0.5,0.7,0,9.72,2.43,,1,8,7
S,,,,181 Pond pine forest,x,3.09,56,5,5.1,0,1,1.5,1.5,2,1,0.5,0.5,0.5,0,4.5,1.12,,1,8,7
S,,,,182 Longleaf pine -- slash pine / saw palmetto -- gallberry,x,3.61,36.4,4,9.8,0.2,0.1,0.4,0.3,0.5,0,0,0,0,0,2.01,0.5,PFL,1,8,7
S,,,,183 Loblolly pine -- shortleaf pine forest,x,4.55,13.26,1.2,3.75,0.2,0.9,4,8.2,10.6,0,0,4.4,1.4,0,2.53,0.63,,1,8,7
S,,,,184 Longleaf pine / turkey oak forest,x,4.68,5,1.25,1.21,0.2,0.1,0.5,1,0.8,0,0,0.2,0,0,13,3.25,,1,8,7
S,,,,185 Longleaf pine / turkey oak forest,x,1.07,0.52,0.4,0.45,0.2,0.1,0.2,0.2,0.1,0,0,0,0,0,3.72,0.93,,1,8,7
S,,,,186 Turkey oak -- bluejack oak forest,x,4.71,6.53,0.75,1.2,0.1,0.2,0.5,0.14,0.3,0.5,0,0.1,0.1,0,10.3,2.57,,1,8,7
S,,,,187 Longleaf pine / yaupon forest,x,3.35,10.13,1.25,2.02,0.2,0.8,4,6.2,1.2,1.5,0,0.2,0,0,3.47,0.87,,1,8,7
S,,,,188 Sand pine -- oak forest,x,2.1,11.7,1,1.33,0,0.4,0.6,0.4,1.1,0,0,0,0,0,3.81,0.95,,1,8,7
S,,,,189 Sand pine -- oak forest,x,2.06,20.59,1.6,1.31,0,0.6,0.7,0.8,4.1,2.1,0,0.2,0.2,0,7.56,1.89,,1,8,7
