# Changed species codes to the NRCS format May 17, 2012 - DCL
# Fofem Species File -
#  This file is used in conjunction with the FOFEM tree mortality option
#
#  NOTE NOTE: - Developer's note if changes are made to this file you
#               might have to also change the table in fof_spp.h
#
# Mort = Mortality Equation
# Brk = Bark Equation
# Reg = Region
#   Interior West   1
#   Pacific West    2
#   North East      3
#   South East      4
# Crn = Crown Coefficient code used to calc stand canopy cover
#
# PF = Post Fire Injury Mortality Equation number
#
#  P = Post Fire Injury Show, a 'P' in this column will cause the spieces
#      only show up in the Post Fire Injury list shown to user
#
#
# Note-1: A few species, ponderose/jeffrey have 2 PFI (Post Fire Injury)
#         eqs, so there
#         are two entries below, both show up in the PFI user master list
#         window, but only one shows in the normal mort master list
#
#
#        1         2         3         4         5         6         7
#234567890123456789012345678901234567890123456789012345678901234567890123
# SPP   Name                                        Mort Brk Reg Crn PF P
#------ ______________________________________________-- ___ ---- __ -- _
PIFLA2  Pinus flexilis -- Limber pine                  1   9 1    31
PIFLC   Pinus flexilis -- Limber pine                  1   9 1    31
PIFLC2  Pinus flexilis -- Limber pine                  1   9 1    31
PIGL2   Pinus glabra -- Spruce pine                    1  14    4 11

# See Note-1 above, Jeffrey  has 2 Post Fire Injury equations
PIJE    Pinus jeffreyi -- Jeffrey pine                19  37 12   12 PP
PIJEk   Pinus jeffreyi -- Jeffrey pine                19  37 12   12 PK P

PILA    Pinus lambertiana -- Sugar pine               18  38 12   13 SP
PIMO3   Pinus monticola -- Western white pine          1  14 12   14

# Change 8-19-12 this was using Mort Eq 1,
PIPA2   Pinus palustris -- Longleaf pine               5  28    4 15

# See Note-1 above, Ponderosa has 2 Post Fire Injury equations
PIPO    Pinus ponderosa -- Ponderosa pine             19  36 12   15 PP
PIPOB2  Pinus ponderosa -- Ponderosa pine             19  36 12   15 PP
PIPOB   Pinus ponderosa -- Ponderosa pine             19  36 12   15 PP
PIPOP2  Pinus ponderosa -- Ponderosa pine             19  36 12   15 PP
PIPOB3  Pinus ponderosa -- Ponderosa pine             19  36 12   15 PP
PIPOP   Pinus ponderosa -- Ponderosa pine             19  36 12   15 PP
PIPOS   Pinus ponderosa -- Ponderosa pine             19  36 12   15 PP
PIPOS2  Pinus ponderosa -- Ponderosa pine             19  36 12   15 PP
PIPOW2  Pinus ponderosa -- Washoe pine                19  36 12   15 PP
PIPOW   Pinus ponderosa -- Washoe pine                19  36 12   15 PP
PIPOk   Pinus ponderosa -- Ponderosa pine             19  36 12   15 PK P
PIPOBk  Pinus ponderosa -- Ponderosa pine             19  36 12   15 PK P
PIPOP2k Pinus ponderosa -- Ponderosa pine             19  36 12   15 PK P
PIPOB3k Pinus ponderosa -- Ponderosa pine             19  36 12   15 PK P
PIPOPk  Pinus ponderosa -- Ponderosa pine             19  36 12   15 PK P
PIPOSk  Pinus ponderosa -- Ponderosa pine             19  36 12   15 PK P
PIPOS2k Pinus ponderosa -- Ponderosa pine             19  36 12   15 PK P
PIPOW2k Pinus ponderosa -- Washoe pine                19  36 12   15 PK P
PIPOWk  Pinus ponderosa -- Washoe pine                19  36 12   15 PK P
PIPU5   Pinus pungens -- Table mountain pine           1  19   34 11
PIRE    Pinus resinosa -- Red pine                     1  22   34 11
PIRI    Pinus rigida -- Pitch pine                     1  24   34 11
PISA2   Pinus sabiniana -- Gray pine                   1  12  2   15
PISE    Pinus serotina -- Pond pine                    1  35   34 11
PINSPP  Pinus species -- Pines                         1   9   34 11
PIST    Pinus strobus -- Eastern white pine            1  24   34 14
PISY    Pinus sylvestris -- Scots pine                 1   9   34 11
PITA    Pinus taeda -- Loblolly pine                   1  30   34 15
PIVI2   Pinus virginiana -- Virginia pine              1  12   34 11
PLOC    Platanus occidentalis -- American sycamore     1  12   34 39
PLOCG   Platanus occidentalis -- American sycamore     1  12   34 39
POBA2   Populus balsamifera -- Balsam poplar           1  19   34 27
POBAB2  Populus balsamifera -- Balsam poplar           1  19   34 27
POBAC2  Populus balsamifera -- Balsam poplar           1  19   34 27
