# Version 6.0   Fuel Loading File - must be same number as the Fofem program's
# This version was create from the spreadsheet Oct-11-2012 DCL
#
#
#        1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17        18        19        200       210
#23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456
# Reg                                    Name                                                      F Litter   Duff  Depth  Shrub   Herb    1Hr   10Hr  100Hr   3-9S  9-20S   20+S   3-9R  9-20R   20+R  Foli  Bran   CTG
#_-_-  ___________________________________________________________________________________________ _ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ------ ______ ---
 PI    104 White spruce -- paper birch forest                                                      x   4.12  34.20   3.00   3.84   1.05   1.50   2.00   3.00  15.00   5.00   0.00   1.00   1.00   0.00  10.04   2.51 BBS
 PI    105 Paper birch -- quaking aspen -- white spruce forest                                     x   5.55  30.60   3.00   2.31   0.06   0.40   0.50   1.50   5.00   3.00   0.00   2.00   2.00   0.00  13.16   3.29 BBS
 N     106 Red spruce -- balsam fir forest                                                         x   5.72  30.69   2.00   0.60   0.10   1.00   1.70   3.30  17.50  17.50   0.00   3.50   3.50   0.00   1.03   0.26 BBS
 N     107 Pitch pine / scrub oaks forest                                                          x   2.59  35.10   3.00   1.47   0.02   0.10   0.70   0.50   0.10   0.00   0.00   0.20   0.00   0.00   2.11   0.53
 N     109 Eastern white pine -- northern red oak -- red maple fore                                x   4.25  11.70   1.00   3.28   0.40   0.30   0.50   1.00   1.20   0.50   0.50   0.75   0.30   0.00  17.23   4.31 WPH
 N     110 American beech -- yellow birch -- sugar maple forest                                    x   3.10  14.85   1.00   0.44   0.10   0.40   0.50   1.00   1.00   5.00   0.00   0.50   1.00   0.00  15.32   3.83
 S     114 Virginia pine -- pitch pine -- shortleaf pine forest                                    x   3.86  19.80   2.00   0.88   0.20   0.20   0.70   0.40   0.30   0.50   0.00   0.20   0.30   0.00   3.74   0.94
 S     115 Rhododendron -- blueberry -- mountain laurel shrubland                                  x   5.78  40.00   2.50  15.63   0.05   0.20   0.70   2.00   0.00   0.00   0.00   0.20   0.00   0.00   0.17   0.04  SG
 S     120 Oak -- pine / mountain laurel forest                                                    x   5.24  19.80   1.50  10.80   0.05   0.50   1.00   1.50   1.50   1.80   0.00   0.80   0.00   0.00   5.90   1.48
 S     121 Oak -- pine / mountain laurel forest                                                    x   7.84  19.80   1.50  10.80   0.10   2.00   3.00   4.00   8.80  14.60   5.80   0.80   0.00   0.00   6.39   1.60
 S     123 White oak -- northern red oak -- black oak -- hickory fo                                x   6.83  22.10   2.00   3.30   0.06   0.60   1.20   1.60   1.50   1.80   0.00   0.80   0.00   0.00  15.48   3.87
 N     124 Pitch pine -- oak forest                                                                x   3.90  18.72   1.60   2.22   0.11   0.20   0.50   0.50   0.10   0.10   0.00   0.20   0.00   0.00   4.55   1.14
 N     125 Oak -- hickory -- pine -- eastern hemlock forest                                        x   5.57   8.16   0.70   3.41   0.05   0.02   0.40   0.70   1.80   1.80   0.00   0.50   0.00   0.00  13.77   3.44 WPH
 S     129 Green ash -- American elm forest                                                        x   0.93   1.30   1.00   2.03   0.11   0.10   0.20   1.50   1.50   1.50   0.00   0.50   0.50   0.00  19.76   4.94
 S     131 Bluestem -- Indian grass -- switchgrass grassland                                       x   6.59   0.00   0.00   0.32   3.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.51   0.13  GG
 S     133 Tall fescue -- foxtail -- purple bluestem grassland                                     x   3.96   0.00   0.00   0.61   3.00   0.40   0.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.43   0.11  GG
 S     134 White oak -- northern red oak -- hickory forest                                         x   2.98   7.12   0.60   2.64   0.20   1.40   3.20   6.90   7.90   2.80   0.00   2.50   1.00   0.00   0.26   0.07
 S     135 Eastern redcedar -- oak / bluestem savanna                                              x   0.27   0.39   0.20   0.52   1.50   0.20   0.40   0.80   0.00   0.00   0.00   0.00   0.00   0.00   1.52   0.38
 N     138 Red pine -- eastern white pine forest                                                   x   2.20  19.89   1.80   0.80   0.10   0.90   1.50   1.90   4.80   5.20   0.00   1.40   2.10   0.00  10.18   2.55 RJP
 N     140 Jack pine / black spruce forest                                                         x   2.36  18.53   1.50   2.29   0.72   0.30   0.30   0.10   0.40   0.00   0.00   0.10   0.00   0.00   4.69   1.17 RJP
 N     142 Quaking aspen -- paper birch forest                                                     x   2.62  23.40   2.00   0.63   0.11   0.50   1.00   3.00   3.00   0.00   0.00   1.00   0.00   0.00  13.80   3.45
 I     143 Quaking aspen -- paper birch -- white spruce -- balsam f                                x   5.05  24.70   2.00   4.40   0.50   0.40   0.60   1.30   2.00   2.00   0.00   0.30   0.00   0.00  20.24   5.06 BBS
 N     146 Jack pine forest                                                                        x   2.72  15.60   1.20   0.36   0.11   0.20   0.80   1.00   6.00   0.00   0.00   1.50   0.00   0.00   3.77   0.94 RJP
 N     147 Jack pine savanna                                                                       x   1.05   3.64   0.40   0.86   0.31   0.10   0.10   0.10   0.30   0.00   0.00   0.00   0.00   0.00   1.97   0.49 RJP
 N     148 Jack pine forest                                                                        x   3.17   4.23   0.50   0.49   0.06   0.10   0.50   1.30  10.00   0.00   0.00   1.50   0.00   0.00   0.95   0.24 RJP
 N     152 Red pine -- White pine forest                                                           x   2.59  17.55   1.80   0.45   0.20   2.00   3.00   4.00  12.50  15.00  10.00   1.40   2.10   0.00   0.53   0.13 RJP
 I     154 Bur oak savanna                                                                         x   4.01   3.60   0.40   0.75   0.30   0.20   0.50   0.50   1.00   0.50   0.00   0.00   0.00   0.00  10.81   2.70
 N     155 Red spruce --  balsam fir forest                                                        x   3.06  44.55   3.00   0.23   0.05   0.50   1.00   0.50   1.50   0.40   0.00   2.00   0.75   0.00   6.05   1.51 BBS
 S     156 Slash pine plantation forest                                                            x   2.35   9.35   0.75   3.40   0.10   1.60   0.84   1.50   2.00   0.00   0.00   0.07   0.00   0.00   2.59   0.65
